recipe_id,recipe_name,method
11,ไก่ยำ,"1. ล้างอกไก่ให้สะอาด เลาะเอาแต่เนื้อ ทุบให้นุ่ม คลุกแป้งสาลี หมักไว้ 1–2 ชั่วโมง
2. โขลกรากผักชี พริกขี้หนู และกระเทียมให้ละเอียด ใส่ชาม
3. เติมน้ำปลา น้ำมะนาว และน้ำตาลเล็กน้อย คลุกให้เข้ากัน พักไว้เป็นน้ำยำ
4. ล้างใบผักกาดหอม ตัดให้เป็นวงกลมเท่า ๆ กัน วางซ้อนกัน ก้านผักกาดหอมตัดเป็นเส้นเล็ก ๆ สำหรับมัด
5. ย่างไก่บนไฟแรงจนสุกนุ่ม แต่ไม่แห้งแข็ง หั่นเป็นชิ้นเล็ก ๆ
6. คลุกไก่กับน้ำยำที่เตรียมไว้ ใส่หอมหัวเล็ก หอมใหญ่ และตะไคร้ ซอย ปรับรสตามชอบ อย่าให้แฉะ
7. ตักไก่ยำลงในใบผักกาดหอม มัดก้านเป็นกะทง
8. โรยผักชีซอยและถั่วลิสงทอดกรอบ"
12,กล้วยบวชชี,"1. คั้นกะทิจากมะพร้าวขูดแล้วกรองด้วยผ้า
2. แบ่งหัวกะทิครั้งแรกใส่ชามเก็บไว้ ส่วนกะทิครั้งที่ 2–3 ใส่หม้อสำหรับต้ม
3. ใส่กล้วยลงในหม้อกะทิ ตั้งไฟพอเดือดและกล้วยสุก
4. เติมหัวกะทิที่เก็บไว้ ปรุงรสด้วยเกลือและน้ำตาลตามชอบ
5. ตักใส่ชาม โรยถั่วคั่ว

**หมายเหตุ** วิธีคั่วถั่ว ใช้ถั่วทองหรือถั่วเขียว ล้างให้สะอาด ซาวให้หมดผงดำ สงขึ้นจากน้ำใส่กะทะคั่วให้เหลือง (อย่าให้ถึงเปลือกดำ) ใส่ครก ใช้ลูกครกคนให้แตกเป็น 2 ซีก ตักใส่ตะแกรงหรือจาน ฝัดให้เปลือกออกจนหมด"
13,แกงคั่วฟักทองกับกุ้งตะเข็บ,"1. ปอกฟักทอง หั่นเป็นชิ้น ล้างให้สะอาด พักไว้
2. กุ้งปอกเปลือก ผ่าหลังเอาเส้นดำออก (สำหรับกุ้งตัวเล็กที่เลือกไว้โขลกรวมกับน้ำแกง)
3. แช่พริกแห้งในน้ำสักครู่ บีบน้ำออก
4. โขลกพริกแห้ง ข่า ตะไคร้ และเกลือให้ละเอียด ใส่หัวหอม กะปิ และกระเทียม โขลกต่อจนละเอียด
5. ใส่กุ้งตัวเล็ก (หรือปลาย่าง/กุ้งแห้งตามส่วนผสม) ลงโขลกผสม
6. คั้นกะทิใส่หม้อ ตั้งไฟพอเดือดและคนไม่ให้เป็นลูกกะทิ
7. ตักหัวกะทิใส่กะทะ ตั้งไฟ ใส่น้ำพริกโขลกผัดให้หอม
8. นำหัวกะทิและน้ำพริกใส่หม้อกะทิใหญ่ คนให้เข้ากัน
9. ใส่ฟักทอง ปิดฝาต้มจนเดือดและฟักทองสุก
10. ปรุงรสด้วยน้ำปลา ชิมรสตามชอบ
11. ใส่กุ้งตะเข็บที่เตรียมไว้ ต้มจนสุกทั่ว ใช้ได้"
14,ไส้กรอกหมู,"##เตรียมเครื่องน้ำพริก:
1. ฉีกพริกแห้ง ลอกเมล็ด ล้างสะอาด
2. ปอกและหั่นหัวหอม กระเทียม ข่า ตะไคร้
3. โขลกพริกแห้ง ข่า ตะไคร้ หัวหอม กระเทียม รากผักชี และเกลือให้ละเอียด
4. ใส่ถั่วยี่สงคั่วเป็นขั้นตอนสุดท้ายเมื่อเครื่องอื่นละเอียดแล้ว

##เตรียมส่วนผสมไส้:
1. หั่นเนื้อหมู มันหมู และเนื้อปูทะเล/กุ้งให้เป็นชิ้นสม่ำเสมอ
2. ต้มมันแกวหรือฟักเขียวให้สุก แล้วหั่นเป็นฝอย
3. ผสมเนื้อหมู มันหมู ปู/กุ้ง มันแกว และน้ำพริกในอ่างใหญ่
4. คั้นกะทิครั้งที่ 1–2 ผสมลงในอ่าง คนให้เข้ากัน
5. เติมหัวกะทิผสมละลายน้ำพริก ปรุงรสด้วยน้ำปลาเล็กน้อย
6. ต่อยไข่ลงไป คนให้เข้ากัน
7. โรยต้นหอมและผักชีซอย คลุกให้ทั่ว

##บรรจุไส้:
1. ล้างไส้หมูให้สะอาด แช่น้ำเล็กน้อย ตัดเป็นท่อนสั้น ๆ
2. ใช้กรวยบรรจุไส้ จับปลายไส้เข้ากับกรวย สอดหมูผสมเข้าไปจนเต็ม
3. อย่าใส่แน่นหรือหลวมเกินไป ผูกหัวท้ายไส้ให้เรียบร้อย

##การนึ่งและปิ้ง:
1. นึ่งไส้กรอกจนสุกพอประมาณ ผึ่งให้แห้ง
2. ปิ้งบนตะแกรงห่างไฟ 18–19 ซม. ค่อย ๆ กลับไส้จนเกรียม
3. ใช้ใบตองสดคลุมและโรยกากมะพร้าวทีละน้อย ป้องกันไฟลุก
4. เมื่อไส้กรอกเหลืองทั่วและน้ำด้านในแห้ง สามารถเพิ่มไฟเล็กน้อยจนสุกกรอบ

**หมายเหตุ** จะใช้อบแทนวิธีปิ้งก็ได้ แต่ต้องใช้ไฟอ่อนมากประมาณ 1 ชั่วโมง แล้วค่อย ๆ เพิ่มไฟทีละน้อยจนกระทั่งเกรียม"
15,เมี่ยงปลาทู,"1. นำปลาทูนึ่งหรือปลาชนิดอื่นมาทอดให้หอม จากนั้นลอกหนังออกและแกะเนื้อให้หมดก้าง แล้วบี้เนื้อปลาให้กระจายเป็นชิ้นเล็ก ๆ (แต่ไม่ต้องละเอียดจนเกินไป)
2. ถ้าปลาไม่เค็ม ให้เติมเกลือป่นเล็กน้อยตามชอบ แล้วบีบมะนาวโรยให้ทั่ว เคล้าให้เข้ากัน
3. หากส่วนผสมออกมาแฉะเกินไป ให้ใส่ผงขนมปังหรือข้าวคั่วเพื่อดูดความชื้น
4. ใส่เนื้อหมูต้มที่หั่นไว้ เนื้อส้มซ่า ขิงสด และหัวหอมซอย คลุกเคล้าให้เข้ากัน
5. ชิมรสชาติให้ออกเปรี้ยวและเค็ม ไม่ต้องใส่น้ำตาล
6. จัดใส่จาน โรยด้วยถั่วลิสงคั่วหั่นครึ่ง โรยผักชี และพริกสดป่น รับประทานคู่กับใบทองหลางอ่อนหรือผักกาดหอม"
16,นกพิราบตุ๋น,"1. ขูดผิวฟักเขียวออก แกะสลักลวดลายบาง ๆ ฝานปลายเพื่อให้ตั้งได้ ตักไส้ในออกและขูดให้เกลี้ยงแต่ไม่บางจนเกินไป
2. ลอกเอ็นถั่วออก ล้างแครอทให้สะอาด (หรือหัวผักกาดขาวถ้าใช้แทน)
3. ต้มน้ำใส่เกลือเล็กน้อย พอน้ำเดือด ใส่ถั่วและแครอทลงต้มจนสุก (ห้ามปิดฝา)
4. ปอกหอมหัวใหญ่แล้วหั่นตามยาวเป็นเสี้ยว ไม่บางเกินไป
5. หั่นถั่วเป็นชิ้นเล็ก ๆ ขนาดเท่าเมล็ดถั่วกระป๋อง
6. หั่นแครอทเป็นสี่เหลี่ยมลูกบาศก์ขนาดใหญ่กว่าถั่วเล็กน้อย
7. ถอนขนนกพิราบ ผ่าท้องควักไส้ออก ล้างให้สะอาด ตัดหัวและเท้าออก ขัดปีก คอ และขาให้สะอาดดูน่ารับประทาน
8. ใส่นกพิราบและผักที่เตรียมไว้ลงในภาชนะ โรยเกลือและพริกไทยเล็กน้อย
9. วางภาชนะในลังถึง นึ่งประมาณ 1 ชั่วโมง โดยไม่ต้องปิดฝา
10. ยกขึ้นแล้วจัดใส่ลงในผลฟักเขียว เติมซีอิ๊วขาวและผงปรุงรส ชิมรสให้ออกเค็มกลมกล่อม
11. นึ่งต่ออีก 30–45 นาที จนฟักเขียวสุกพอดี
12. ตักเสิร์ฟทั้งในผลฟักเขียวพร้อมน้ำซุปหอม ๆ"
17,ปลากุเลาทอดปรุงหน้า,"1. ล้างปลากุเลาให้สะอาด ขูดขี้เกลือออก บั้งเนื้อปลาเป็นลายสี่เหลี่ยมเฉียงไปมา
2. ใส่น้ำมันหมูลงกระทะ ตั้งไฟกลางให้ร้อน ทอดปลากุเลาจนสุกเหลืองกรอบ แล้วตักขึ้นพักไว้บนจาน
3. ตักน้ำมันออกจากกระทะให้เหลือประมาณ 2 ช้อนโต๊ะสำหรับผัดกุ้ง
4. ล้างกุ้ง ปอกเปลือก แล้วสับเนื้อกุ้งให้ละเอียด
5. ใส่กุ้งสับและหัวหอมหั่นลงในกระทะ ผัดจนสุกหอม
6. ปรุงรสด้วยน้ำส้มสายชู 1 ช้อนโต๊ะ และน้ำตาล 1 ช้อนชา ผัดให้เข้ากัน
7. ตักส่วนผสมกุ้งที่ผัดแล้วราดบนชิ้นปลากุเลาที่ทอดไว้
8. โรยหน้าด้วยผักชีหั่นและพริกชี้ฟ้าเหลืองหั่นเส้น"
18,ห่อหมกหอยแมลงภู่,"1. ล้างหอยแมลงภู่ให้สะอาด พักให้สะเด็ดน้ำ
2. โขลกพริกแห้ง ตะไคร้ ข่า ผิวมะกรูด รากผักชี หอม กระเทียม พริกไทย เกลือ และกะปิ ให้ละเอียดเป็นน้ำพริกเครื่องปรุง
3. หั่นกะหล่ำปลีเป็นเส้นฝอยยาว 2 ซม. ลวกในน้ำเดือดพอสุก บีบน้ำออกให้แห้ง
4. แบ่งหัวกะทิ 1 ถ้วย ตั้งไฟกลาง คนให้เดือดเล็กน้อย แล้วพักไว้สำหรับหยอดหน้าห่อหมก
5. ผสมกะทิข้น 2 ถ้วยกับน้ำพริกเครื่องปรุง คนให้เข้ากัน
6. ใส่กะหล่ำปลีลวกลงไป คนให้เข้ากับน้ำพริกกะทิจนข้น
7. ปรุงรสด้วยน้ำปลา 1–2 ช้อนโต๊ะ ตามชอบ
8. ใส่หอยแมลงภู่ลงไป ต่อยไข่เป็ดใส่ คนด้วยส้อมเบา ๆ แค่พอเข้ากัน (อย่าคนนานเกินไป)
9. เด็ดดอกโสน ใส่พร้อมใบโหระพารองก้นถ้วยหรือใบตองที่เตรียมไว้
10. ตักส่วนผสมห่อหมกใส่ลงในภาชนะที่รองไว้
11. หยอดหน้าด้วยหัวกะทิที่เคี่ยวไว้
12. โรยหน้าด้วยต้นหอม ผักชี ใบมะกรูดหั่นฝอย และพริกแดงหั่นเส้น
13. นำไปนึ่งด้วยไฟแรงประมาณ 15 นาที หรือจนสุกหอม

**หมายเหตุ** เวลากวน กวนมากไม่ดี นึ่งนานเกินไป น้ำจะออกมาทำให้ไม่อร่อย"
19,งบไก่,"1. โขลกเครื่องน้ำพริก (หอมแดง กระเทียม พริกแห้ง ข่า ตะไคร้ รากผักชี พริกไทย เกลือ และน้ำเคย) ให้ละเอียด
2. ล้างไก่ให้สะอาด เราะเอาเฉพาะเนื้อ แล้วหั่นบาง ๆ เป็นชิ้นขวางเส้นเนื้อ
3. คั้นมะพร้าวให้ได้หัวกะทิ 2 ถ้วยตวง แบ่งออกมา 4 ช้อนโต๊ะไว้สำหรับแต่งหน้า
4. ตั้งหัวกะทิ 4 ช้อนโต๊ะบนไฟอ่อน ๆ กวนจนข้น พักไว้
5. กะทิที่เหลือผสมกับเนื้อไก่ เติมเครื่องน้ำพริกที่โขลกไว้ คนให้เข้ากัน
6. ตอกไข่ไก่ 2 ฟองลงไป คนเบา ๆ ให้ส่วนผสมเข้ากัน
7. ปรุงรสด้วยน้ำปลาเพิ่มเล็กน้อย ชิมให้ได้รสเค็มมัน
8. เตรียมใบตองซ้อนกัน 4 ชั้น พับเป็นกรอบสี่เหลี่ยม
9. วางใบโหระพาที่เด็ดไว้ลงก้นใบตอง ตักส่วนผสมไก่วางทับ
10. หยอดหัวกะทิที่กวนข้นไว้ แต่งหน้าด้วยใบมะกรูดซอย ผักชี และพริกแดงหั่นฝอย
11. ห่อเป็นสี่เหลี่ยมแบน ๆ วางบนตะแกรง ปิ้งด้วยไฟกลาง กลับด้านละ 15 นาทีจนสุกหอม"
20,ไข่กระจัง,"1. ต้มไข่จืด 15 นาทีแล้วแช่น้ำเย็น
2. ผ่าไข่เป็น 4 เสี้ยว แล้วตัดกลางเป็น 8 ส่วน
3. หั่นเนื้อหมูปนมันเป็นชิ้นเล็กประมาณ 3 ซม. แล้วสับให้ละเอียด
4. ล้างพริกแล้วปอกเปลือก
5. โขลกเครื่องปรุงเผา ได้แก่ หอม กระเทียม ข่า รากผักชี พริก และถั่วเขียวคั่วให้ละเอียด
6. คั้นกะทิข้น ๆ ใส่หม้อ ตั้งไฟเคี่ยวจนแตกมันเป็นขี้โล้
7. ใส่เครื่องปรุงที่โขลกไว้ลงในกะทิ คนจนเป็นน้ำมัน ปรุงรสด้วยน้ำเคย มะขามเปียก น้ำตาล และเกลือให้ได้รสเค็ม เปรี้ยว หวาน
8. นวดหมูสับผสมมันหมู ปนเครื่องปรุง 1-2 ช้อนโต๊ะ ให้เข้ากันดี แล้วปั้นเป็นวงกลมพอเหมาะ
9. นึ่งวงหมูนึ่งจนสุก
10. ปอกกระเทียมดิบ ทุบสับแล้วเจียวในน้ำมันจนสีเหลืองนวล
11. ปอกมันฝรั่ง หั่นเป็นแผ่นบาง ล้างน้ำเกลือแล้วทอดให้กรอบ
12. ผัดถั่วพูที่หั่นไว้ให้สุกนุ่ม

##วิธีจัด:
1. ตักวงหมูนึ่งลงก้นจานก้นลึก
2. ราดเครื่องปรุงที่ผัดไว้ให้ทั่ววงหมู
3.โรยกระเทียมเจียวให้ทั่ว
4. วางถั่วพูผัดไว้ตรงกลางวงหมู
5.วางไข่ต้มที่ผ่าแล้วรอบวงหมูให้ปลายแหลมขึ้น
6. ประดับมันฝรั่งทอดรอบขอบจานให้สวยงาม"
21,หน้าตั้งแขก,"1. ฉีกพริกแห้ง ล้างให้สะอาด โขลกกับเกลือและเครื่องในคั่วให้ละเอียด
2. ใส่ถั่วลิสงและขมิ้น โขลกต่อจนละเอียด
3. ล้างไก่อ่อนและเลาะกระดูกออกให้หมด หั่นเป็นชิ้นสี่เหลี่ยมขนาดพอดี
4. คั้นกะทิจากกระดูกไก่และนำไปตั้งไฟจนแตกมัน
5. ผัดน้ำพริกในกระทะให้หอม แล้วใส่ไก่ลงผัดให้เข้ากัน
6. เติมกะทิที่เหลือ ปรุงรสด้วยน้ำปลาและน้ำตาลตามชอบ

##วิธีทำโรตี:
1. ผสมแป้งสาลี น้ำ และเกลือเล็กน้อย นำมาทำเป็นฝอยทองด้วยกรวย
2. ใส่กะทะร้อนพอสุก จัดซ้อนบนใบตองสำหรับรับประทานพร้อมหน้าตั้ง
3. เวลาจะรับประทาน ให้เอาแป้งโรตีห่อหน้าตั้ง หรือใช้ข้าวตังทอด ข้าวเกรียบทอด ขนมปังทอดจิ้มตามชอบ

**หมายเหตุ** ตำรับนี้ เจ้าของหวงมาก ไม่ยอมบอกใครเลย คนที่ทำหน้าตั้งนี้เป็นคนสนิทของเจ้าของ สั่งไม่ให้บอกใคร คนที่ทำเขาได้สายบานไว้จึงไม่สามารถบอกได้ แต่ได้แสดงวิธีทำให้ดู จึงได้ตำรับนี้มา"
22,ยำปลาหมึกสด,"1. หั่นปลาหมึกเป็นริ้วเฉียงยาว ตั้งน้ำให้เดือดแล้วลวกปลาหมึกที่หั่นไว้เพียงครู่ จากนั้นราดน้ำเย็นเพื่อให้ปลาหมึกกรอบ
2. เตรียมผักต่าง ๆ: แตงกวาหั่นตามขวาง, หัวผักกาดขาวหั่นฝอย ขยำเกลือแล้วล้างน้ำ, คึ่นฉ่ายตัดเป็นท่อน, มะเฟืองหั่นบาง ๆ, สับปะรดหั่นบาง ๆ
3. จัดผักทั้งหมดให้งดงามในจานเปล
4. หั่นหัวผักกาดเค็มเป็นฝอย ล้างน้ำอุ่นเพื่อลดความเค็ม
5. วางปลาหมึกลงตรงกลางจาน
6. โรยหัวผักกาดเค็มฝอยและงาคั่วบนปลาหมึก เสิร์ฟพร้อมน้ำจิ้ม

**หมายเหตุ** น้ำจิ้ม ตำกระเทียมกับเกลือ ผสม น้ำตาลทราย น้ำปลาดีและมะนาว ปรุงรสตามชอบ"
23,ฟักตุ๋น,"1. ล้างไก่ให้สะอาด แล่เอาแต่เนื้อสับให้ละเอียด
2. ต้มน้ำซุปด้วยกระดูกไก่ 5 ถ้วยชา เคี่ยวจนเหลือ 2 ถ้วยชา
3. ต้มหัวแครอทในน้ำซุปแล้วหั่นเป็นสี่เหลี่ยมลูกบาศก์ขนาด 1 เซนติเมตร
4. โขลกพริกไทยกับกระเทียมให้ละเอียด
5. ผสมแป้งสาลีกับเนื้อไก่สับ นวดจนเข้ากันดี
6. ใส่พริกไทยกับกระเทียมที่โขลกไว้ น้ำเคยดี และน้ำตาล เคล้าให้เข้ากันดี
7. ใส่หัวแครอทต้มและถั่วกระป๋อง ผสมให้ทั่ว
8. ปอกฟัก ล้างให้สะอาด คว้านไส้ออกให้เกลี้ยงโดยไม่ให้ก้นทะลุ
9. บรรจุเนื้อไก่ที่ผสมไว้ลงในฟักให้เต็ม ส่วนที่เหลือปั้นเป็นลูกชิ้นกลมเตรียมไว้
10. กรองน้ำซุปใส่ภาชนะที่ใช้ตุ๋น
11. ใส่ฟักลงตุ๋นประมาณ 1 ชั่วโมงจนสุก
12. เปิดฝาใส่ลูกชิ้นที่เตรียมไว้ ปิดฝาตุ๋นต่อจนลูกชิ้นสุกดี
13. ตักฟักตุ๋นและลูกชิ้นใส่ภาชนะจัดเสิร์ฟตามต้องการ"
24,ยำถั่วพู,"1. ต้มน้ำใส่เกลือเล็กน้อยในหม้อจนเดือดพล่าน
2. ใส่ถั่วพูลงต้มจนสุก ตักขึ้นแล้วหั่นขวางฝักบาง ๆ
3. ปอกกุ้งผ่าสองซีก หั่นตัวตามขวางเป็นชิ้นเล็ก แกะหัวออก รีดมัน ฉีกเนื้อส่วนหัวและส่วนอ่อน ๆ ของเหงือกรวมกัน
4. สับเนื้อส่วนหัวให้ละเอียด ผสมกับเนื้อกุ้งตัว
5. ตั้งกะทะบนไฟ รวนกุ้งผสมมันกุ้งจนพอสุก ตักขึ้นอย่าให้แห้ง
6. ใส่ถั่วพูลงจาน โรยมะพร้าวคั่ว
7. ละลายน้ำพริกเผากับน้ำปลา น้ำตาล และมะนาว ชิมรสตามชอบ
8. ก่อนเสิร์ฟคลุกถั่วพูและกุ้งกับน้ำพริกเผาที่ละลายไว้จนเข้ากัน

**หมายเหตุ** ยำชนิดนี้จะใช้ถั่วฝักยาวแทนถั่วพูก็ได้"
